Age,MetersSecond
0,0.2
1,0.3
3,0.4
4,0.5
5,0.6
6,0.9
7,0.9
8,0.9
9,0.9
10,0.9
11,1.32
12,1.32
13,1.32
14,1.32
15,1.32
16,1.35
17,1.35
18,1.35
19,1.35
20,1.35
21,1.35
22,1.35
23,1.35
24,1.35
25,1.35
26,1.4
27,1.4
28,1.4
29,1.4
30,1.4
31,1.4
32,1.4
33,1.4
34,1.4
35,1.4
36,1.4
37,1.4
38,1.4
39,1.4
40,1.4
41,1.4
42,1.4
43,1.4
44,1.4
45,1.4
46,1.4
47,1.36
48,1.36
49,1.36
50,1.36
51,1.36
52,1.36
53,1.36
54,1.36
55,1.36
56,1.36
57,1.36
58,1.36
59,1.36
60,1.3
61,1.3
62,1.3
63,1.3
64,1.3
65,1.3
66,1.3
67,1.3
68,1.3
69,1.3
70,1.2
71,1.2
72,1.2
73,1.2
74,1.2
75,1.2
76,1.2
77,1.2
78,1.2
79,1.2
80,0.94
81,0.94
82,0.94
83,0.94
84,0.94
85,0.94
86,0.94
87,0.94
88,0.94
89,0.6
90,0.6
91,0.6
92,0.6
93,0.6
94,0.6
95,0.6
96,0.6
97,0.6
98,0.6
99,0.6
100,0.6
101,0.6
102,0.6
103,0.6
104,0.6
105,0.6
106,0.6
107,0.6
108,0.6
109,0.6
110,0.6
111,0.6
112,0.6
113,0.6
114,0.6
115,0.6
116,0.6
117,0.6
